5000, 0.94, 0.926, 0.942, 0.962, 0.932, 1.005, 0.935, 0.851, 0.823, 0.863, 0.832, 0.831, 0.826, 0.834, 0.822, 0.833, 0.83, 0.893, 0.861, 0.831, 0.833, 0.828, 0.829, 0.833, 0.805, 0.757, 0.768, 0.776, 0.762, 0.767, 0.841, 0.766, 0.77, 0.767, 0.759, 0.763, 0.757, 0.777, 0.758, 0.758, 0.774, 0.763, 0.782, 0.814, 0.776, 0.761, 0.75, 0.756, 0.746, 0.739, 0.77, 2.317, 0.743, 0.696, 0.784, 0.691, 0.689, 0.687, 0.689, 0.688, 0.691, 0.691, 0.692, 0.692, 0.692, 0.692, 0.73, 0.737, 0.808, 0.727, 0.887, 0.759, 0.766, 0.734, 0.735, 0.733, 0.728, 0.729, 0.737, 0.74, 0.767, 0.728, 0.802, 0.742, 0.727, 0.726, 0.737, 0.764, 0.747, 0.728, 0.731, 0.729, 0.736, 0.732, 0.742, 0.738, 0.742, 0.773, 0.752, 0.75
10000, 1.528, 1.576, 1.547, 1.597, 1.546, 1.57, 1.542, 1.525, 1.502, 1.5, 1.51, 1.504, 1.51, 1.554, 1.492, 1.501, 1.518, 1.506, 1.503, 1.515, 1.528, 1.512, 1.533, 1.511, 1.506, 1.535, 1.505, 1.54, 1.504, 1.5, 1.52, 1.495, 1.512, 1.551, 1.577, 1.502, 1.501, 1.507, 1.5, 1.59, 1.517, 1.515, 1.638, 1.512, 1.499, 1.491, 1.521, 1.506, 1.503, 1.546, 1.522, 1.503, 1.749, 1.553, 1.544, 1.52, 1.597, 1.504, 1.529, 1.657, 1.503, 1.536, 1.522, 1.58, 1.517, 1.523, 1.506, 1.797, 1.554, 1.507, 1.59, 1.529, 7.974, 1.577, 1.561, 1.498, 1.508, 1.501, 1.493, 1.52, 1.539, 1.491, 1.5, 1.501, 1.493, 1.494, 1.509, 1.498, 1.548, 1.501, 1.5, 1.498, 1.498, 1.509, 1.527, 1.53, 1.511, 1.736, 1.565, 1.794
15000, 2.638, 2.907, 2.708, 2.581, 2.71, 2.419, 2.414, 2.521, 2.361, 2.355, 2.338, 2.414, 2.341, 2.384, 2.524, 2.352, 2.348, 7.911, 2.6, 2.293, 2.257, 2.229, 2.277, 2.27, 2.227, 2.568, 2.473, 2.377, 2.339, 2.407, 2.367, 2.328, 2.527, 2.388, 2.34, 2.378, 2.329, 2.324, 2.335, 2.55, 2.328, 2.335, 2.331, 2.358, 2.341, 2.387, 2.281, 2.271, 2.388, 2.288, 2.277, 2.276, 2.264, 2.27, 2.254, 2.264, 2.342, 2.269, 2.336, 2.241, 2.376, 2.19, 2.22, 2.264, 2.218, 2.211, 2.367, 2.536, 2.426, 2.342, 2.227, 2.219, 2.218, 2.294, 2.365, 2.268, 2.205, 2.253, 2.227, 2.203, 2.226, 2.294, 2.496, 2.358, 2.511, 2.296, 2.294, 2.314, 2.296, 2.259, 2.237, 2.277, 2.216, 2.242, 2.24, 2.595, 2.306, 2.26, 2.375, 2.587
20000, 3.247, 3.237, 3.237, 3.287, 5.442, 3.277, 3.177, 3.227, 3.178, 3.173, 3.217, 3.209, 3.312, 3.237, 3.196, 3.339, 3.192, 3.276, 3.185, 3.184, 3.345, 3.117, 3.267, 3.108, 3.103, 3.232, 3.112, 3.203, 3.129, 3.101, 3.008, 3.406, 3.013, 3.1, 3.057, 3.012, 3.058, 3.052, 3.018, 3.028, 3.056, 3.054, 3.018, 3.073, 3.026, 3.132, 3.294, 3.071, 3.101, 3.449, 3.11, 3.044, 3.069, 3.052, 3.246, 3.069, 3.031, 3.114, 3.039, 3.076, 3.034, 3.07, 3.026, 3.065, 3.317, 3.341, 3.042, 3.495, 3.166, 3.36, 3.189, 12.176, 2.929, 2.866, 3.049, 2.89, 2.901, 3.273, 2.985, 3.262, 3.208, 3.231, 3.246, 3.208, 3.275, 3.227, 3.201, 3.245, 3.254, 3.244, 3.285, 3.204, 3.271, 3.191, 3.333, 3.298, 3.221, 3.269, 3.183, 3.252
25000, 4.156, 3.983, 4.05, 3.948, 4.054, 3.998, 4.08, 3.935, 4.056, 3.848, 3.95, 4.01, 3.931, 3.863, 3.958, 3.807, 3.947, 5.468, 3.568, 3.708, 3.619, 3.482, 3.55, 3.499, 3.522, 3.747, 3.764, 4.019, 3.768, 3.722, 3.732, 3.972, 3.784, 3.794, 3.758, 3.718, 3.735, 3.758, 3.792, 3.908, 3.797, 3.767, 3.765, 3.769, 3.713, 3.811, 3.756, 3.706, 3.72, 3.761, 3.722, 4.034, 3.694, 3.769, 3.753, 4.013, 3.804, 3.806, 3.832, 3.733, 4.101, 3.945, 3.812, 3.803, 3.79, 3.762, 3.861, 3.875, 3.747, 3.813, 4.163, 4.156, 4.611, 3.869, 3.94, 3.843, 4.386, 3.871, 3.843, 3.858, 4.597, 3.884, 3.849, 3.856, 4.561, 5.754, 3.716, 3.632, 4.132, 3.596, 3.57, 3.586, 4.026, 4.025, 3.854, 3.85, 4.006, 4.354, 3.996, 3.953
30000, 4.62, 4.779, 4.959, 5.197, 4.64, 4.82, 4.807, 4.76, 4.648, 4.829, 4.747, 4.633, 4.963, 4.598, 4.806, 4.639, 4.824, 5.258, 5.749, 6.403, 5.252, 5.021, 4.85, 4.715, 5.238, 5.079, 4.816, 6.294, 5.77, 5.282, 5.256, 20.478, 4.889, 4.583, 4.613, 5.147, 4.64, 4.59, 4.585, 4.767, 4.863, 4.748, 4.717, 4.691, 5.163, 4.778, 4.592, 4.758, 4.919, 4.713, 4.651, 5.017, 4.814, 4.646, 4.766, 4.959, 4.592, 4.64, 5.042, 4.854, 4.635, 4.727, 4.957, 4.617, 4.778, 5.078, 10.4, 4.803, 4.448, 4.403, 4.377, 4.571, 4.382, 4.361, 4.872, 4.88, 4.628, 4.851, 4.973, 4.783, 4.698, 4.886, 4.951, 4.618, 4.636, 5.006, 4.655, 4.825, 5.259, 4.938, 4.849, 4.927, 5.015, 4.896, 4.765, 4.879, 5.044, 4.821, 4.839, 5.497
35000, 5.943, 5.571, 5.963, 5.915, 5.754, 6.358, 8.06, 8.63, 6.965, 10.085, 6.013, 5.945, 5.687, 5.837, 5.544, 5.411, 6.144, 5.917, 6.215, 6.344, 6.327, 6.815, 6.218, 6.876, 6.479, 7.238, 6.776, 6.208, 6.094, 6.89, 6.252, 6.248, 6.214, 6.018, 6.103, 6.185, 6.129, 6.147, 6.135, 6.074, 6.061, 14.938, 5.839, 5.746, 5.848, 5.554, 5.633, 5.851, 5.724, 5.951, 6.047, 6.039, 5.979, 5.92, 6.0, 6.34, 5.995, 5.81, 7.352, 5.626, 5.638, 5.446, 5.317, 5.518, 5.255, 6.02, 5.993, 5.665, 5.72, 5.928, 5.766, 6.054, 5.88, 5.875, 7.191, 5.497, 5.323, 5.714, 5.315, 5.235, 5.799, 5.493, 5.845, 6.235, 5.707, 5.797, 6.085, 5.764, 6.212, 6.193, 7.631, 6.182, 5.522, 5.445, 5.694, 5.359, 5.376, 5.901, 6.335, 6.229
40000, 6.688, 8.686, 6.212, 6.367, 8.914, 10.015, 7.062, 6.809, 6.897, 7.693, 7.587, 6.868, 6.824, 7.479, 6.805, 6.858, 6.69, 9.201, 7.129, 6.463, 7.348, 6.326, 6.686, 6.462, 6.76, 7.022, 6.75, 7.534, 6.889, 6.79, 6.727, 6.923, 6.836, 7.072, 6.32, 6.778, 6.779, 6.859, 6.856, 7.033, 7.067, 6.977, 6.749, 6.857, 6.856, 6.804, 6.687, 6.692, 6.555, 8.582, 6.096, 6.142, 5.902, 6.106, 5.778, 6.024, 5.979, 6.338, 6.277, 6.33, 6.269, 6.359, 6.282, 6.483, 10.057, 5.907, 5.761, 5.838, 5.872, 6.089, 6.023, 6.242, 6.404, 6.245, 6.314, 6.246, 6.265, 6.785, 6.742, 6.503, 6.623, 5.965, 6.484, 6.582, 7.094, 7.426, 6.707, 8.0, 6.638, 6.507, 7.333, 6.771, 7.262, 6.568, 6.834, 6.851, 6.615, 15.183, 6.614, 6.237
45000, 6.942, 7.027, 7.06, 7.04, 7.195, 6.978, 7.305, 7.113, 7.029, 7.417, 9.38, 6.712, 6.631, 6.81, 6.526, 6.621, 6.593, 7.06, 7.042, 7.123, 7.012, 7.274, 7.025, 7.058, 7.217, 7.091, 7.396, 6.721, 6.996, 7.544, 7.609, 7.376, 7.732, 7.73, 7.452, 7.668, 7.686, 7.299, 8.371, 10.241, 7.983, 9.64, 13.011, 10.592, 7.872, 7.131, 6.998, 7.001, 7.237, 8.043, 8.089, 7.942, 7.379, 8.336, 7.384, 8.894, 7.367, 13.026, 6.996, 7.635, 6.75, 8.159, 6.702, 7.819, 7.73, 8.094, 7.806, 7.53, 8.153, 7.513, 7.991, 7.564, 8.418, 7.586, 7.786, 7.544, 8.641, 7.531, 8.554, 7.535, 8.809, 7.498, 9.032, 7.655, 8.923, 7.577, 8.786, 7.538, 7.907, 7.754, 19.537, 7.735, 7.008, 7.008, 7.061, 6.891, 7.314, 7.311, 7.404, 7.567
50000, 8.518, 11.481, 12.336, 14.707, 9.734, 8.973, 8.006, 8.472, 9.345, 7.851, 11.401, 12.9, 9.491, 9.207, 9.172, 9.45, 10.222, 9.212, 9.155, 11.183, 8.446, 8.177, 8.541, 8.188, 7.808, 8.078, 8.141, 9.445, 8.564, 9.06, 8.998, 8.914, 8.542, 8.582, 9.681, 9.486, 8.198, 8.736, 8.832, 8.796, 8.809, 8.744, 8.823, 8.675, 8.675, 8.982, 8.59, 8.623, 8.281, 8.132, 8.083, 10.806, 7.671, 7.57, 7.416, 7.259, 7.29, 7.341, 9.953, 8.065, 8.466, 8.758, 8.166, 8.166, 8.107, 7.81, 12.243, 7.552, 7.343, 7.526, 7.68, 7.421, 7.394, 7.711, 7.875, 7.785, 8.426, 9.593, 8.154, 8.433, 8.267, 8.771, 8.267, 10.986, 7.844, 8.251, 7.692, 8.076, 7.605, 8.034, 7.919, 9.119, 8.16, 8.861, 8.352, 8.989, 8.67, 8.495, 9.992, 13.645
