5000, 1.595, 1.496, 1.455, 1.47, 1.433, 1.392, 1.361, 1.681, 1.92, 1.456, 1.357, 1.357, 1.423, 1.351, 1.44, 1.44, 1.407, 1.422, 1.401, 1.446, 1.464, 1.481, 1.427, 1.424, 1.409, 1.381, 1.391, 1.468, 1.393, 1.357, 1.479, 1.773, 1.523, 1.387, 1.353, 1.398, 1.41, 1.402, 1.404, 1.398, 1.396, 1.393, 1.667, 1.643, 1.369, 1.39, 1.444, 1.436, 1.353, 1.349, 1.356, 1.403, 1.369, 1.391, 1.339, 1.4, 1.361, 1.345, 1.365, 1.352, 1.334, 1.46, 1.353, 1.359, 1.322, 1.328, 1.316, 1.335, 1.335, 1.358, 1.311, 1.334, 1.317, 1.312, 1.332, 1.322, 1.313, 1.371, 1.313, 1.324, 1.326, 1.314, 1.312, 1.319, 1.33, 1.406, 8.142, 1.208, 1.233, 1.307, 1.304, 1.299, 1.312, 1.307, 1.3, 1.319, 1.345, 1.314, 1.3, 1.322
10000, 2.754, 7.861, 2.682, 2.693, 2.704, 2.634, 2.613, 2.926, 2.646, 2.63, 2.643, 2.69, 2.624, 2.631, 2.632, 2.669, 2.632, 2.637, 2.758, 2.656, 2.849, 2.802, 3.008, 3.333, 2.733, 3.202, 3.016, 2.869, 2.915, 4.732, 2.971, 2.575, 2.91, 2.726, 2.717, 2.937, 2.941, 2.782, 2.878, 2.8, 2.763, 2.923, 2.911, 2.906, 2.795, 2.828, 2.801, 2.903, 3.129, 2.874, 2.782, 2.769, 2.796, 3.092, 2.852, 2.764, 2.753, 2.703, 2.683, 3.177, 2.902, 2.786, 2.797, 2.757, 2.728, 3.181, 2.956, 2.753, 2.716, 2.722, 2.716, 3.414, 2.86, 2.794, 2.753, 2.714, 2.737, 2.781, 2.954, 2.8, 2.693, 2.832, 2.856, 2.702, 2.71, 2.947, 2.719, 3.033, 2.74, 2.753, 2.883, 2.771, 2.715, 3.404, 2.9, 2.882, 3.495, 3.208, 2.78, 3.584
15000, 4.245, 4.389, 4.315, 4.306, 4.402, 4.241, 4.212, 4.112, 4.294, 4.514, 4.103, 4.085, 4.454, 4.334, 4.301, 4.281, 4.37, 10.132, 3.75, 4.301, 3.917, 4.091, 4.103, 4.582, 4.44, 4.185, 4.147, 4.554, 4.15, 4.322, 4.425, 4.55, 4.433, 4.228, 4.369, 4.265, 4.314, 4.212, 4.978, 6.365, 6.136, 4.674, 5.029, 4.531, 4.319, 4.259, 4.669, 5.008, 4.579, 4.617, 4.301, 4.403, 4.272, 4.581, 4.279, 4.562, 4.343, 4.745, 4.383, 4.907, 4.555, 4.358, 4.444, 4.735, 4.756, 4.355, 6.404, 4.788, 4.412, 4.384, 4.691, 4.901, 4.296, 4.714, 4.573, 4.297, 4.212, 4.371, 4.347, 6.48, 3.943, 3.931, 4.035, 4.342, 4.533, 4.252, 4.25, 4.203, 4.427, 4.275, 4.189, 4.217, 5.065, 4.359, 4.607, 4.427, 4.631, 4.253, 4.415, 4.334
20000, 5.869, 6.002, 5.726, 5.796, 6.104, 5.705, 16.588, 5.73, 5.892, 5.706, 5.693, 5.804, 5.826, 5.752, 5.79, 5.748, 5.693, 5.782, 5.908, 6.049, 5.735, 5.694, 5.953, 5.944, 5.834, 5.875, 11.381, 5.18, 5.498, 5.517, 5.712, 5.785, 5.701, 5.757, 6.038, 5.872, 5.836, 5.867, 5.816, 6.036, 5.734, 5.809, 6.132, 5.823, 5.739, 5.875, 6.091, 5.69, 5.791, 5.774, 5.866, 5.72, 5.786, 6.014, 5.839, 5.69, 6.166, 7.119, 6.124, 5.849, 6.128, 5.836, 5.835, 6.101, 5.889, 5.852, 8.113, 5.343, 5.398, 5.781, 5.667, 5.679, 7.835, 6.172, 5.813, 5.768, 6.507, 9.004, 12.138, 6.768, 6.024, 5.732, 5.906, 5.681, 5.584, 5.773, 8.108, 5.195, 5.298, 5.646, 5.565, 5.447, 5.556, 5.475, 5.486, 5.915, 5.731, 5.52, 6.138, 5.814
25000, 7.179, 7.508, 7.46, 7.464, 7.437, 7.262, 7.811, 7.237, 7.535, 7.609, 7.667, 7.281, 7.5, 7.161, 7.123, 8.043, 7.074, 8.2, 16.627, 6.522, 7.394, 6.944, 7.246, 7.571, 7.13, 7.924, 7.117, 8.241, 7.13, 8.026, 7.227, 7.864, 7.328, 7.441, 12.648, 7.391, 6.361, 6.673, 7.417, 7.017, 7.477, 6.947, 7.364, 7.026, 7.161, 7.319, 7.726, 7.086, 7.057, 7.032, 7.147, 6.818, 6.728, 7.469, 6.934, 7.041, 6.943, 7.021, 6.745, 7.021, 6.979, 6.802, 6.894, 6.878, 6.957, 6.859, 6.778, 7.014, 8.854, 6.169, 6.294, 6.731, 6.772, 6.82, 7.018, 6.859, 6.829, 6.968, 7.537, 7.153, 7.118, 6.981, 7.101, 7.643, 9.63, 6.404, 6.317, 7.599, 7.179, 6.974, 6.932, 7.065, 6.911, 6.907, 6.874, 6.978, 6.863, 7.044, 6.827, 6.844
30000, 8.284, 8.47, 8.511, 9.624, 9.17, 8.473, 8.811, 18.015, 7.908, 8.076, 8.07, 8.205, 8.135, 8.082, 8.183, 8.322, 8.218, 8.369, 8.446, 8.202, 8.196, 8.191, 8.198, 8.376, 8.268, 8.372, 8.402, 8.274, 8.324, 8.34, 8.554, 8.484, 8.271, 8.704, 8.352, 8.346, 8.243, 8.253, 11.613, 7.795, 7.794, 8.017, 8.643, 8.387, 8.332, 8.296, 8.286, 8.263, 8.322, 8.304, 8.292, 8.219, 8.217, 8.226, 11.905, 7.693, 7.594, 8.256, 8.354, 8.216, 8.172, 8.208, 8.346, 8.372, 8.265, 8.267, 8.368, 8.31, 8.234, 8.322, 10.243, 7.76, 7.709, 8.212, 8.413, 8.409, 8.205, 8.342, 8.42, 8.471, 8.358, 8.343, 8.284, 8.331, 8.218, 8.405, 8.429, 8.688, 8.375, 8.254, 8.954, 8.584, 8.278, 8.253, 8.308, 8.634, 17.524, 7.55, 7.629, 8.222
35000, 11.352, 10.186, 11.903, 9.694, 9.497, 9.739, 9.922, 9.872, 9.949, 9.846, 10.657, 10.027, 10.254, 12.192, 9.012, 9.355, 10.176, 10.048, 9.851, 9.935, 10.109, 10.214, 9.941, 10.592, 10.466, 9.914, 10.234, 10.089, 10.369, 11.016, 10.463, 10.315, 10.099, 12.247, 9.188, 9.191, 9.93, 9.878, 9.894, 9.907, 10.18, 9.904, 10.224, 9.645, 13.412, 9.845, 9.34, 9.575, 9.94, 9.84, 9.993, 9.904, 9.924, 10.428, 10.291, 9.331, 11.384, 9.7, 9.192, 9.732, 10.028, 9.912, 9.926, 9.907, 10.164, 10.107, 9.922, 11.012, 9.546, 9.298, 11.143, 10.33, 10.111, 9.969, 10.274, 9.948, 9.892, 9.944, 11.036, 9.657, 9.311, 9.715, 9.774, 9.946, 10.624, 10.096, 10.057, 9.902, 10.05, 11.049, 11.329, 9.558, 10.98, 10.368, 10.297, 9.975, 9.883, 10.081, 9.971, 10.086
40000, 11.127, 10.646, 10.878, 13.857, 10.601, 10.494, 11.063, 11.554, 11.48, 11.364, 11.264, 11.459, 11.373, 13.806, 10.913, 10.435, 11.173, 11.244, 11.149, 11.36, 11.821, 11.426, 11.187, 11.971, 11.06, 11.02, 11.536, 11.391, 11.34, 11.757, 11.434, 11.438, 11.607, 11.293, 12.763, 10.312, 11.417, 11.275, 11.638, 11.627, 11.882, 11.653, 11.295, 15.278, 10.724, 10.344, 11.064, 11.352, 11.496, 11.329, 11.257, 11.337, 11.345, 11.352, 10.568, 10.787, 10.751, 11.337, 12.332, 11.71, 11.203, 11.185, 11.295, 11.186, 11.258, 13.075, 10.877, 10.418, 11.302, 12.077, 11.437, 11.335, 11.52, 11.586, 11.532, 10.74, 13.204, 10.739, 10.304, 11.161, 11.373, 11.285, 11.397, 11.541, 11.248, 12.102, 10.908, 13.762, 10.707, 10.308, 11.627, 11.493, 11.384, 11.535, 11.291, 11.396, 11.213, 10.776, 13.579, 10.652
45000, 12.384, 14.387, 12.257, 11.878, 12.49, 13.024, 13.074, 12.653, 12.685, 12.616, 12.723, 15.313, 12.119, 12.052, 12.5, 12.767, 12.807, 12.665, 13.716, 13.909, 13.642, 13.5, 12.674, 12.835, 12.644, 12.781, 13.726, 12.853, 12.711, 12.744, 14.146, 11.79, 12.043, 12.554, 12.667, 12.64, 14.199, 14.277, 13.706, 12.032, 12.175, 11.81, 12.315, 13.002, 13.442, 13.031, 12.945, 12.767, 12.533, 12.595, 11.575, 12.176, 11.561, 12.185, 12.669, 12.611, 12.602, 12.692, 12.444, 12.817, 13.002, 13.284, 12.326, 11.796, 12.359, 12.676, 12.56, 12.593, 12.564, 12.872, 12.775, 12.117, 13.754, 12.216, 12.085, 12.545, 12.678, 12.547, 12.779, 13.071, 12.774, 12.628, 11.94, 13.875, 12.01, 11.764, 12.441, 12.943, 12.481, 12.589, 12.585, 13.218, 12.784, 12.112, 13.927, 12.424, 11.795, 12.361, 12.86, 12.918
50000, 14.525, 14.013, 14.02, 14.16, 14.426, 16.073, 13.271, 13.291, 14.269, 13.892, 14.075, 14.128, 14.244, 14.491, 15.185, 14.963, 14.833, 14.413, 14.213, 14.597, 14.126, 14.373, 14.743, 13.213, 13.429, 14.035, 14.217, 14.112, 14.093, 14.013, 16.693, 13.33, 13.298, 14.04, 14.156, 14.177, 13.936, 13.895, 14.238, 13.631, 14.945, 13.475, 13.515, 14.309, 14.109, 13.954, 14.023, 14.224, 14.604, 15.228, 14.105, 13.28, 13.803, 14.248, 14.191, 14.08, 14.387, 14.651, 13.024, 13.229, 12.959, 13.848, 14.036, 14.19, 14.308, 14.097, 14.355, 13.925, 15.336, 13.209, 13.007, 14.357, 14.02, 14.028, 14.052, 14.051, 14.435, 14.782, 13.672, 13.274, 13.743, 14.165, 14.075, 13.991, 14.211, 14.05, 14.324, 15.193, 13.212, 12.94, 14.076, 14.086, 13.92, 14.347, 14.116, 14.378, 14.653, 13.552, 13.204, 13.703
55000, 15.538, 15.504, 15.567, 16.277, 15.699, 17.66, 15.325, 14.963, 15.39, 15.493, 15.444, 17.334, 16.3, 16.337, 16.076, 17.038, 16.32, 15.947, 15.851, 15.912, 15.651, 17.359, 14.744, 14.445, 15.27, 15.775, 15.483, 15.524, 15.857, 15.867, 18.622, 14.523, 14.585, 15.83, 15.499, 17.218, 16.328, 15.62, 15.868, 14.482, 17.068, 14.65, 14.25, 16.074, 15.643, 16.077, 15.784, 16.306, 15.74, 16.539, 14.804, 14.566, 15.474, 15.55, 15.535, 15.689, 15.73, 15.465, 16.825, 14.873, 14.516, 16.046, 16.021, 15.431, 15.787, 16.073, 15.765, 16.308, 14.862, 14.749, 15.794, 15.74, 15.672, 15.915, 15.757, 15.63, 16.451, 14.785, 14.684, 15.775, 15.774, 15.45, 15.819, 15.611, 15.789, 16.982, 14.68, 14.83, 16.101, 15.616, 15.624, 15.905, 15.796, 15.922, 16.688, 14.613, 14.258, 15.539, 16.058, 15.67
