5000, 0.361, 0.432, 0.37, 0.363, 0.363, 0.368, 0.366, 0.366, 0.362, 0.362, 0.392, 0.377, 0.36, 0.358, 0.371, 0.414, 0.381, 0.428, 0.39, 0.394, 0.361, 0.358, 0.363, 0.363, 0.359, 0.358, 0.36, 0.367, 0.361, 0.356, 0.359, 0.359, 0.356, 0.359, 0.36, 0.363, 0.401, 0.372, 0.411, 0.36, 0.358, 0.358, 0.358, 0.365, 0.359, 0.358, 0.367, 0.359, 0.359, 0.362, 0.381, 0.358, 0.371, 0.36, 0.358, 0.377, 0.36, 0.358, 0.358, 0.358, 0.358, 0.359, 0.36, 1.527, 0.362, 0.341, 0.342, 0.342, 0.34, 0.342, 0.341, 0.34, 0.339, 0.34, 0.344, 0.349, 0.345, 0.378, 0.371, 0.366, 0.365, 0.375, 0.365, 0.374, 0.361, 0.369, 0.362, 0.366, 0.367, 0.361, 0.364, 0.363, 0.375, 0.378, 0.362, 0.368, 0.361, 0.36, 0.365, 0.583
10000, 0.833, 1.062, 0.704, 0.703, 0.713, 0.698, 0.702, 0.699, 0.716, 0.715, 0.705, 0.954, 0.712, 0.775, 0.732, 0.721, 0.718, 0.698, 0.711, 0.703, 0.699, 0.7, 0.704, 0.696, 0.718, 0.7, 0.695, 0.697, 0.705, 0.733, 0.701, 0.698, 0.698, 0.699, 0.71, 0.7, 0.699, 0.709, 0.761, 0.807, 0.766, 0.762, 0.72, 0.713, 0.709, 0.715, 0.701, 0.706, 0.693, 0.706, 0.7, 0.693, 0.696, 0.697, 0.696, 0.704, 0.676, 0.679, 0.764, 0.716, 0.693, 0.841, 0.828, 0.802, 0.737, 0.809, 0.748, 0.723, 0.707, 0.772, 0.691, 0.713, 0.678, 0.678, 0.678, 0.678, 0.677, 0.686, 0.678, 0.675, 0.948, 0.848, 0.683, 0.725, 0.811, 0.709, 0.688, 0.688, 0.729, 0.813, 0.749, 0.853, 0.696, 0.718, 0.683, 0.68, 0.719, 0.696, 0.737, 0.695
15000, 1.161, 1.2, 1.159, 1.071, 2.046, 1.164, 1.167, 1.317, 1.257, 1.59, 1.876, 1.834, 1.448, 1.448, 1.169, 1.9, 1.079, 1.068, 1.072, 1.054, 1.044, 1.045, 1.059, 1.087, 1.103, 1.138, 1.089, 1.148, 1.235, 1.13, 1.587, 1.025, 1.028, 1.028, 1.016, 1.021, 1.023, 1.018, 1.139, 1.2, 1.404, 1.066, 1.216, 1.086, 1.087, 1.064, 1.064, 1.055, 1.055, 1.044, 1.062, 1.044, 1.048, 1.042, 1.019, 1.612, 1.045, 1.163, 1.072, 1.042, 1.022, 1.026, 1.015, 1.018, 1.017, 1.026, 1.022, 1.022, 1.023, 1.274, 1.023, 1.024, 1.106, 1.138, 1.009, 1.02, 1.011, 1.014, 1.023, 1.054, 1.021, 1.015, 1.031, 0.993, 0.998, 0.993, 1.535, 0.998, 0.995, 1.025, 0.996, 0.995, 0.993, 1.068, 1.001, 0.991, 0.987, 0.987, 0.999, 0.999
20000, 1.736, 1.552, 1.717, 1.554, 1.569, 1.434, 1.423, 1.416, 1.416, 1.413, 1.47, 1.46, 1.685, 1.439, 1.426, 1.414, 1.412, 1.421, 1.42, 1.408, 1.42, 1.417, 1.419, 1.431, 1.656, 1.459, 1.447, 1.426, 1.426, 1.407, 1.415, 1.425, 1.416, 1.366, 1.377, 1.439, 1.848, 1.565, 1.369, 1.396, 1.411, 1.401, 1.41, 1.433, 1.408, 1.406, 1.428, 1.762, 1.546, 1.386, 1.368, 1.404, 1.371, 1.375, 1.376, 1.368, 1.373, 1.375, 1.381, 1.719, 1.519, 1.414, 1.428, 1.414, 1.456, 1.418, 1.431, 1.415, 1.375, 1.367, 1.51, 1.805, 1.381, 1.446, 1.538, 1.365, 1.541, 1.432, 1.377, 1.385, 1.38, 1.779, 1.453, 1.313, 1.309, 1.307, 1.307, 1.346, 1.344, 1.343, 1.342, 1.342, 1.387, 1.52, 1.467, 1.414, 1.436, 1.405, 1.418, 1.401
25000, 1.801, 1.773, 1.799, 1.775, 1.787, 1.778, 1.861, 1.79, 1.773, 1.808, 2.004, 1.836, 1.777, 1.808, 2.01, 1.822, 1.729, 1.736, 1.799, 1.796, 1.776, 1.78, 1.783, 1.793, 1.78, 1.745, 1.745, 1.741, 1.883, 1.764, 1.695, 1.94, 1.747, 1.72, 1.695, 1.681, 1.743, 1.852, 1.691, 1.744, 1.774, 1.694, 1.73, 1.837, 1.769, 1.707, 1.692, 1.817, 1.77, 1.854, 1.718, 1.734, 1.73, 1.854, 1.75, 1.787, 1.746, 1.735, 2.106, 1.867, 1.719, 1.696, 1.791, 2.117, 1.751, 1.77, 1.765, 2.146, 2.101, 1.801, 1.801, 1.843, 1.837, 1.785, 1.798, 1.834, 1.839, 1.775, 1.792, 1.785, 1.826, 1.776, 1.789, 1.784, 1.907, 1.84, 1.787, 1.786, 1.974, 1.882, 1.793, 1.807, 1.813, 1.834, 1.804, 1.796, 1.816, 1.909, 1.797, 1.796
30000, 2.14, 2.109, 2.11, 2.111, 2.054, 2.225, 2.049, 2.054, 2.177, 2.368, 2.387, 2.11, 2.261, 2.124, 2.145, 2.132, 2.193, 2.647, 2.105, 2.129, 2.095, 2.136, 2.033, 2.049, 2.04, 2.054, 2.032, 2.125, 2.036, 2.062, 2.041, 2.034, 1.994, 2.038, 2.018, 1.999, 2.049, 1.999, 2.005, 1.992, 2.089, 1.981, 1.988, 2.174, 2.028, 7.998, 2.055, 2.083, 1.983, 2.065, 2.048, 1.977, 1.983, 2.03, 1.978, 2.155, 2.005, 2.01, 2.007, 1.909, 2.242, 1.925, 1.916, 2.032, 2.123, 2.055, 2.057, 2.16, 2.073, 2.105, 2.092, 2.526, 2.124, 2.107, 2.191, 2.156, 2.119, 2.103, 2.199, 2.129, 2.102, 2.118, 2.264, 2.128, 2.111, 2.109, 2.186, 2.116, 2.119, 2.181, 2.133, 2.107, 2.107, 2.211, 2.184, 2.101, 2.117, 2.189, 2.137, 2.117
35000, 2.481, 2.446, 2.447, 2.528, 2.503, 2.697, 2.843, 2.562, 2.819, 2.757, 2.526, 2.548, 2.53, 2.529, 2.508, 2.457, 2.454, 2.439, 2.484, 2.396, 8.058, 2.457, 2.355, 2.548, 2.359, 2.402, 2.52, 2.916, 2.675, 2.494, 2.576, 2.729, 2.507, 2.508, 2.501, 2.564, 2.482, 2.445, 2.486, 2.531, 2.395, 2.623, 2.818, 2.388, 2.631, 2.653, 2.436, 2.515, 2.539, 2.469, 2.434, 2.806, 2.82, 2.53, 2.681, 2.975, 3.082, 2.608, 2.514, 3.079, 2.727, 2.832, 2.546, 2.539, 2.922, 2.971, 3.543, 3.266, 2.621, 2.703, 3.353, 3.665, 4.107, 3.163, 2.545, 2.634, 3.495, 2.608, 2.518, 2.6, 2.585, 2.546, 2.703, 2.528, 2.502, 2.525, 2.509, 2.494, 3.467, 2.595, 2.921, 2.524, 2.507, 2.49, 2.574, 2.596, 2.528, 2.505, 2.688, 2.439
40000, 3.533, 3.109, 3.036, 3.056, 3.001, 2.971, 2.959, 3.077, 3.148, 2.953, 3.198, 2.905, 3.211, 3.25, 3.027, 3.026, 3.027, 3.136, 3.243, 2.899, 2.947, 3.056, 2.963, 3.376, 3.057, 2.955, 3.143, 3.032, 3.12, 3.065, 3.007, 3.166, 3.01, 2.949, 3.462, 3.015, 3.182, 2.955, 2.973, 3.034, 3.096, 3.005, 2.989, 2.974, 3.031, 3.097, 3.073, 3.035, 3.134, 3.041, 3.078, 3.09, 3.098, 2.997, 3.288, 3.181, 3.032, 3.103, 4.906, 2.951, 3.003, 2.95, 2.841, 2.836, 2.853, 2.854, 2.909, 3.07, 2.841, 2.893, 2.851, 2.987, 2.973, 3.204, 4.575, 4.19, 4.166, 3.063, 3.254, 2.912, 3.007, 3.353, 3.047, 2.932, 2.861, 2.923, 2.939, 3.181, 2.95, 2.891, 2.854, 2.82, 3.039, 3.028, 2.871, 2.837, 2.827, 2.835, 3.349, 2.987
45000, 3.531, 3.263, 3.223, 3.217, 3.158, 3.239, 3.167, 3.202, 3.648, 3.204, 3.174, 3.24, 3.166, 3.239, 3.256, 3.15, 3.116, 3.169, 3.192, 3.279, 3.208, 3.157, 3.143, 3.151, 3.336, 3.147, 3.226, 3.362, 3.29, 3.738, 3.246, 3.208, 3.248, 3.192, 3.201, 3.244, 3.176, 3.171, 3.188, 3.458, 3.294, 3.152, 3.255, 3.181, 3.245, 3.194, 3.25, 3.22, 3.17, 3.236, 3.296, 3.224, 3.226, 3.201, 3.221, 3.276, 3.184, 3.262, 3.185, 3.207, 3.319, 3.417, 3.185, 3.237, 3.43, 3.243, 10.686, 3.277, 3.239, 3.191, 3.207, 3.206, 3.253, 3.224, 3.22, 3.156, 3.23, 3.169, 3.234, 3.298, 3.153, 3.239, 3.178, 3.279, 3.185, 3.177, 3.261, 3.176, 3.281, 3.2, 3.081, 3.066, 3.1, 3.467, 3.224, 3.152, 3.177, 3.167, 3.234, 3.184
50000, 3.665, 3.418, 3.567, 3.699, 3.397, 3.745, 3.626, 3.526, 3.5, 5.869, 5.106, 4.059, 3.804, 4.099, 4.342, 3.964, 3.718, 4.378, 4.394, 3.594, 3.619, 3.558, 9.712, 3.655, 3.557, 3.872, 3.592, 3.655, 3.513, 3.656, 3.554, 3.619, 3.606, 3.714, 3.873, 3.712, 3.58, 3.577, 3.78, 3.629, 3.782, 3.522, 3.584, 3.917, 3.876, 3.572, 3.54, 3.667, 3.855, 4.128, 3.602, 3.776, 3.631, 3.749, 3.629, 3.725, 3.571, 3.664, 3.774, 3.573, 3.54, 3.789, 3.703, 3.523, 3.644, 3.525, 3.995, 3.536, 3.586, 3.516, 3.747, 3.704, 3.577, 3.522, 3.502, 3.848, 3.703, 3.696, 3.516, 3.66, 3.86, 3.656, 3.517, 3.588, 3.658, 3.705, 3.663, 3.951, 3.967, 3.774, 3.925, 3.638, 3.608, 3.812, 3.651, 3.512, 3.554, 3.648, 3.787, 3.503
