5000, 0.934, 0.892, 0.867, 0.858, 0.859, 0.902, 0.867, 0.858, 1.152, 0.961, 0.882, 0.899, 0.861, 0.885, 0.79, 0.851, 0.795, 0.799, 0.798, 0.805, 0.797, 0.875, 0.97, 0.83, 0.944, 0.8, 0.83, 0.793, 0.79, 0.794, 0.869, 0.82, 0.81, 0.853, 0.809, 0.812, 0.856, 0.833, 0.819, 0.816, 0.814, 0.823, 0.817, 0.826, 0.87, 0.835, 0.819, 0.855, 0.814, 0.828, 0.862, 0.85, 0.814, 0.813, 0.816, 0.793, 0.836, 0.79, 0.791, 0.793, 0.791, 0.844, 0.8, 0.791, 0.79, 0.791, 0.807, 0.846, 0.828, 0.829, 0.794, 0.79, 0.839, 0.845, 0.803, 0.791, 1.018, 0.807, 0.795, 0.794, 0.792, 0.79, 0.802, 0.8, 0.828, 0.807, 0.79, 0.835, 0.795, 0.789, 0.833, 0.791, 0.792, 0.79, 0.87, 0.797, 0.972, 0.798, 0.792, 0.795
10000, 1.634, 1.624, 1.642, 1.693, 1.687, 1.705, 1.735, 1.628, 1.688, 1.698, 1.683, 1.633, 1.648, 1.668, 1.627, 1.624, 1.63, 1.784, 1.724, 1.591, 1.7, 1.689, 1.628, 1.629, 1.631, 1.749, 1.648, 1.652, 1.611, 1.877, 1.842, 1.631, 1.62, 1.628, 1.619, 1.648, 1.7, 1.66, 1.704, 1.673, 1.729, 1.659, 1.723, 1.773, 1.674, 1.685, 1.625, 1.638, 1.632, 1.624, 1.819, 1.753, 1.583, 1.614, 1.606, 1.829, 1.602, 1.798, 1.63, 1.626, 1.672, 1.627, 1.752, 1.704, 1.689, 1.661, 1.605, 1.617, 1.796, 1.681, 1.632, 1.628, 1.63, 1.687, 1.676, 1.696, 1.661, 3.925, 1.589, 1.591, 1.709, 1.58, 1.592, 1.692, 1.702, 1.67, 1.62, 1.573, 1.664, 1.812, 1.597, 1.77, 1.773, 1.637, 1.661, 1.788, 1.77, 1.72, 1.823, 1.779
15000, 2.498, 2.561, 2.609, 2.648, 2.576, 2.491, 2.547, 2.536, 2.573, 2.541, 2.616, 2.582, 2.621, 2.686, 2.543, 2.558, 2.964, 2.498, 2.51, 2.619, 2.533, 2.524, 2.708, 2.6, 2.503, 2.723, 2.55, 2.504, 2.625, 2.613, 2.514, 2.537, 2.748, 2.548, 2.535, 2.662, 2.55, 2.493, 2.667, 2.576, 2.516, 2.653, 2.499, 2.48, 2.551, 2.513, 2.546, 2.694, 2.599, 2.506, 2.654, 2.539, 2.524, 2.678, 2.571, 2.511, 2.684, 3.362, 2.612, 2.562, 2.484, 2.571, 2.533, 2.545, 2.55, 2.52, 2.512, 2.548, 2.513, 2.536, 2.543, 2.503, 2.508, 2.577, 2.488, 2.545, 2.513, 2.487, 2.48, 2.524, 2.481, 2.552, 2.449, 2.608, 2.5, 2.505, 2.46, 2.467, 2.434, 2.657, 2.581, 2.467, 2.56, 2.646, 2.464, 2.419, 2.439, 2.445, 2.67, 2.473
20000, 3.306, 3.635, 3.251, 3.343, 3.415, 3.392, 3.315, 3.49, 3.278, 3.469, 3.56, 3.359, 3.4, 3.325, 3.243, 3.608, 3.481, 3.329, 3.463, 3.352, 3.42, 3.475, 4.042, 3.298, 4.111, 3.639, 3.412, 3.725, 4.044, 4.207, 4.194, 3.796, 3.843, 3.764, 4.269, 3.793, 4.019, 4.155, 5.118, 5.143, 4.618, 4.602, 3.665, 3.475, 3.474, 3.458, 3.468, 3.441, 3.43, 3.501, 3.414, 3.963, 3.364, 3.353, 3.506, 3.495, 3.6, 3.378, 3.351, 3.426, 3.399, 3.638, 3.404, 3.33, 3.359, 3.416, 3.469, 3.596, 3.422, 3.406, 3.389, 3.44, 3.375, 3.353, 3.405, 3.423, 3.398, 3.468, 3.423, 3.386, 3.46, 3.42, 3.41, 3.459, 3.347, 3.671, 3.929, 3.306, 3.416, 3.357, 3.509, 3.343, 3.403, 3.457, 3.513, 3.462, 3.35, 3.42, 3.358, 3.534
25000, 4.336, 4.439, 4.304, 4.295, 4.378, 4.359, 4.324, 4.241, 4.731, 4.3, 4.313, 4.214, 4.357, 4.328, 4.293, 4.218, 4.392, 4.346, 4.469, 4.236, 4.384, 4.339, 4.279, 4.276, 4.313, 4.523, 5.976, 6.471, 5.0, 4.528, 4.513, 4.555, 4.476, 4.274, 4.886, 5.087, 5.103, 4.904, 4.39, 4.6, 12.797, 4.381, 4.404, 5.011, 4.507, 4.458, 4.793, 4.371, 4.466, 4.433, 4.792, 5.482, 4.546, 5.023, 5.137, 4.351, 5.235, 5.413, 4.875, 4.369, 4.537, 4.593, 4.312, 4.294, 4.371, 4.332, 4.622, 4.27, 4.314, 4.464, 4.199, 4.3, 4.382, 5.218, 4.498, 4.437, 4.332, 4.244, 4.158, 4.367, 4.4, 4.348, 4.156, 4.345, 4.345, 4.334, 4.253, 4.47, 4.468, 4.307, 4.366, 4.347, 4.303, 4.342, 4.479, 4.346, 4.317, 4.251, 4.406, 4.181
30000, 5.309, 5.054, 5.363, 5.139, 5.169, 5.31, 5.208, 5.081, 5.375, 5.403, 5.14, 5.211, 5.277, 5.01, 5.288, 5.038, 5.339, 5.387, 5.028, 5.26, 5.244, 5.008, 5.326, 5.409, 5.077, 5.345, 5.308, 5.068, 5.245, 5.108, 5.259, 5.137, 5.178, 5.428, 5.283, 4.994, 5.257, 5.292, 5.112, 5.394, 5.235, 5.07, 5.438, 5.068, 10.886, 5.024, 5.243, 5.169, 5.055, 5.029, 5.154, 5.052, 5.351, 4.926, 5.195, 5.291, 5.3, 5.233, 5.21, 4.979, 5.285, 5.465, 5.353, 5.089, 5.998, 4.951, 5.258, 5.033, 5.171, 6.994, 5.228, 5.368, 5.217, 5.068, 5.098, 5.523, 5.324, 6.248, 10.712, 5.674, 4.904, 5.297, 5.372, 5.881, 5.13, 5.224, 4.98, 5.132, 5.022, 5.077, 5.05, 5.11, 5.021, 4.962, 5.415, 5.543, 5.048, 5.26, 5.165, 5.017
35000, 6.024, 5.999, 6.223, 5.934, 5.989, 6.687, 6.181, 6.266, 6.418, 5.976, 6.121, 5.959, 6.01, 6.442, 5.909, 5.997, 6.254, 6.183, 7.12, 5.929, 5.939, 6.057, 5.831, 6.305, 6.208, 5.875, 9.334, 5.711, 5.809, 5.922, 5.638, 5.888, 5.915, 5.875, 6.179, 5.898, 5.824, 6.294, 5.926, 6.091, 6.222, 5.861, 6.131, 6.107, 5.809, 6.368, 5.885, 5.84, 6.685, 6.004, 6.05, 6.203, 5.903, 5.978, 5.967, 5.887, 6.105, 5.815, 5.763, 5.984, 5.783, 5.768, 5.638, 6.547, 6.016, 5.814, 5.811, 5.988, 5.865, 5.725, 5.912, 5.791, 5.734, 6.019, 5.969, 5.852, 5.826, 5.786, 5.948, 5.836, 5.939, 5.889, 5.785, 5.763, 5.506, 5.833, 5.897, 5.701, 5.679, 5.986, 5.747, 5.754, 5.852, 5.783, 5.717, 5.699, 5.973, 5.722, 6.067, 5.858
40000, 6.479, 6.93, 6.66, 6.744, 6.867, 6.675, 6.813, 6.543, 6.783, 7.03, 6.868, 7.317, 7.452, 7.275, 7.223, 6.751, 6.761, 6.861, 6.664, 6.866, 6.619, 6.452, 7.048, 6.854, 6.583, 6.757, 6.758, 6.542, 6.623, 6.473, 7.003, 6.535, 6.618, 6.84, 6.756, 6.514, 6.802, 6.581, 6.585, 7.042, 6.528, 6.803, 6.758, 6.518, 6.686, 6.549, 6.728, 6.717, 6.519, 6.696, 6.574, 6.535, 6.836, 6.951, 6.801, 7.13, 6.777, 6.727, 6.888, 6.611, 6.589, 6.911, 6.711, 6.66, 6.645, 6.418, 6.745, 6.557, 6.756, 6.657, 6.645, 6.699, 7.203, 6.52, 6.753, 6.608, 14.598, 6.701, 6.445, 6.604, 6.445, 6.449, 6.574, 6.68, 6.595, 6.975, 6.657, 6.663, 6.6, 6.699, 6.676, 6.613, 6.649, 6.552, 6.405, 6.599, 6.8, 6.536, 6.552, 6.782
45000, 7.46, 7.589, 7.537, 7.74, 7.532, 7.482, 8.06, 7.724, 8.405, 7.862, 8.059, 7.556, 7.627, 7.561, 7.541, 7.846, 7.501, 7.835, 7.423, 7.533, 7.558, 7.491, 7.575, 7.463, 7.419, 7.518, 13.499, 7.139, 7.362, 7.481, 7.028, 7.286, 7.245, 7.454, 7.588, 8.036, 7.737, 8.015, 7.667, 7.642, 7.54, 7.573, 7.559, 7.687, 9.197, 8.291, 8.009, 9.34, 9.448, 7.84, 7.667, 7.636, 7.696, 7.537, 7.511, 7.556, 7.399, 7.476, 7.443, 7.759, 7.788, 7.519, 7.671, 7.455, 7.476, 7.405, 7.439, 7.874, 7.541, 7.447, 7.58, 7.387, 7.621, 7.358, 7.453, 7.586, 7.365, 7.584, 7.386, 7.307, 7.674, 7.628, 7.583, 7.594, 7.525, 7.458, 7.596, 7.429, 7.43, 7.651, 7.552, 7.499, 7.713, 7.448, 7.554, 7.588, 7.551, 7.661, 7.544, 7.415
50000, 8.26, 8.278, 8.306, 9.132, 8.443, 9.815, 8.713, 8.736, 8.467, 8.438, 8.624, 8.457, 8.455, 8.504, 8.372, 8.45, 8.347, 8.591, 8.717, 8.238, 8.699, 8.314, 8.245, 8.47, 9.176, 9.44, 8.45, 8.584, 8.536, 8.222, 8.37, 8.547, 8.386, 8.391, 8.305, 8.295, 8.314, 8.244, 8.751, 8.888, 8.75, 8.448, 8.624, 8.445, 8.376, 8.312, 8.423, 8.458, 10.77, 8.161, 8.448, 8.171, 8.205, 8.063, 7.852, 8.167, 8.245, 8.152, 8.518, 8.148, 8.445, 8.196, 8.117, 8.302, 8.285, 8.403, 8.269, 8.353, 8.475, 8.25, 8.609, 8.367, 8.199, 8.412, 8.274, 8.091, 8.472, 8.337, 8.568, 8.225, 8.307, 8.321, 8.583, 8.333, 8.141, 8.153, 8.257, 8.259, 8.418, 8.595, 8.135, 8.462, 8.126, 8.124, 8.486, 8.363, 8.363, 8.161, 8.416, 8.373
