5000, 0.174, 0.173, 0.173, 0.17, 0.174, 0.176, 0.172, 0.175, 0.175, 0.176, 0.171, 0.274, 0.18, 0.172, 0.169, 0.174, 0.171, 0.176, 0.174, 0.178, 0.2, 0.182, 0.174, 0.186, 0.172, 0.172, 0.17, 0.17, 0.177, 0.197, 0.192, 0.177, 0.175, 0.177, 0.175, 0.155, 0.178, 0.174, 0.132, 0.132, 0.131, 0.13, 0.143, 0.133, 0.153, 0.144, 0.136, 0.132, 0.14, 0.131, 0.134, 0.131, 0.134, 0.131, 0.134, 0.131, 0.132, 0.136, 0.134, 0.131, 0.131, 0.14, 0.131, 0.138, 0.131, 0.13, 0.131, 0.131, 0.131, 0.133, 0.132, 0.128, 0.133, 0.132, 0.142, 0.136, 0.15, 0.135, 0.133, 0.13, 0.132, 0.13, 0.133, 0.132, 0.136, 0.136, 0.139, 0.13, 0.14, 0.133, 0.14, 0.108, 0.11, 0.108, 0.108, 0.111, 0.11, 0.112, 0.11, 0.116
10000, 0.198, 0.177, 0.178, 0.184, 0.181, 0.183, 0.187, 0.268, 0.257, 0.19, 0.189, 0.184, 0.177, 0.199, 0.237, 0.181, 0.186, 0.181, 0.178, 0.179, 0.193, 0.181, 0.187, 0.185, 0.18, 0.18, 0.18, 0.182, 0.179, 0.189, 0.179, 0.181, 0.182, 0.193, 0.24, 0.189, 0.184, 0.189, 0.183, 0.18, 0.182, 0.184, 0.179, 0.19, 0.183, 0.213, 0.184, 0.181, 0.179, 0.194, 0.182, 0.182, 0.183, 0.182, 0.181, 0.185, 0.192, 0.189, 0.183, 0.18, 0.216, 0.194, 0.183, 0.183, 0.184, 0.185, 0.186, 0.185, 0.192, 0.181, 0.185, 0.197, 0.186, 0.181, 0.194, 0.183, 0.185, 0.185, 0.182, 0.179, 0.193, 0.181, 0.183, 0.182, 0.194, 0.181, 0.185, 0.195, 0.181, 0.181, 0.181, 0.181, 0.183, 0.193, 0.182, 0.182, 0.192, 0.183, 0.182, 0.18
15000, 0.259, 0.258, 0.254, 0.371, 0.292, 0.268, 0.255, 0.275, 0.356, 0.264, 0.283, 0.255, 0.261, 0.256, 0.266, 0.254, 0.257, 0.263, 0.277, 0.295, 0.256, 0.254, 0.263, 0.254, 0.258, 0.253, 0.262, 0.27, 0.25, 0.259, 0.258, 0.263, 0.258, 0.257, 0.253, 0.279, 0.256, 0.256, 0.258, 0.262, 0.262, 0.259, 0.253, 0.266, 0.321, 0.282, 0.257, 0.251, 0.269, 0.259, 0.256, 0.271, 0.268, 0.258, 0.261, 0.259, 0.267, 0.265, 0.258, 0.257, 0.272, 0.308, 0.258, 0.254, 0.258, 0.265, 0.256, 0.261, 0.267, 0.266, 0.259, 0.255, 0.254, 0.265, 0.256, 0.258, 0.263, 0.254, 0.268, 0.257, 0.255, 0.26, 0.263, 0.255, 0.255, 0.272, 0.266, 0.258, 0.26, 0.253, 0.267, 0.255, 0.259, 0.267, 0.261, 0.263, 0.257, 0.26, 0.256, 0.308
20000, 0.39, 0.386, 0.399, 0.373, 0.409, 0.401, 0.371, 0.377, 0.462, 0.413, 0.426, 0.413, 0.385, 0.392, 0.385, 0.377, 0.403, 0.373, 0.368, 0.385, 0.369, 6.835, 0.383, 0.363, 0.366, 0.364, 0.368, 0.37, 0.364, 0.374, 0.366, 0.369, 0.374, 0.37, 0.364, 0.372, 0.366, 0.367, 0.373, 0.376, 0.367, 0.371, 0.369, 0.369, 0.365, 0.366, 0.412, 0.366, 0.374, 0.356, 0.355, 0.373, 0.374, 0.356, 0.366, 0.361, 0.368, 0.356, 0.378, 0.364, 0.363, 0.364, 0.355, 0.36, 0.377, 0.358, 0.365, 0.376, 0.366, 0.362, 0.373, 0.37, 0.362, 0.36, 0.363, 0.36, 0.358, 0.38, 0.365, 0.364, 0.365, 0.356, 0.359, 0.377, 0.358, 0.366, 0.368, 0.358, 0.365, 0.36, 0.391, 0.361, 0.358, 0.373, 0.401, 0.456, 0.387, 0.36, 0.357, 0.38
25000, 0.579, 0.464, 0.452, 0.454, 0.463, 0.461, 0.454, 0.578, 0.601, 0.568, 0.492, 0.556, 0.468, 0.535, 0.483, 0.474, 0.496, 0.466, 0.474, 0.459, 0.469, 0.493, 0.462, 0.471, 0.465, 0.466, 0.481, 0.459, 0.459, 0.48, 0.471, 0.488, 0.474, 0.46, 0.478, 0.466, 0.472, 0.45, 0.454, 0.472, 0.454, 0.485, 0.467, 0.45, 0.478, 0.449, 0.454, 0.468, 0.453, 4.038, 0.56, 0.561, 0.497, 0.475, 0.474, 0.481, 0.457, 0.448, 0.486, 0.458, 0.507, 0.498, 0.663, 0.469, 0.507, 0.561, 0.52, 0.602, 0.485, 0.472, 0.488, 0.475, 0.46, 0.466, 0.465, 0.471, 0.463, 0.467, 0.491, 0.458, 0.472, 0.468, 0.456, 0.464, 0.459, 0.472, 0.481, 0.453, 0.457, 0.471, 0.476, 0.45, 0.482, 0.457, 0.459, 0.472, 0.568, 0.472, 0.455, 0.465
30000, 0.672, 0.578, 0.55, 0.544, 0.547, 0.553, 0.543, 0.533, 0.616, 0.556, 0.556, 0.543, 12.053, 0.534, 0.541, 0.553, 0.54, 0.517, 0.639, 0.605, 0.586, 0.696, 0.707, 0.661, 0.662, 0.544, 0.557, 0.551, 0.542, 0.524, 0.513, 0.539, 0.559, 0.583, 0.531, 0.529, 0.542, 0.534, 0.543, 0.543, 0.543, 0.557, 0.544, 0.539, 0.54, 0.56, 0.542, 0.551, 0.546, 0.566, 0.534, 0.558, 0.551, 0.564, 0.543, 0.539, 0.544, 0.571, 0.567, 0.542, 0.552, 0.541, 0.553, 0.555, 0.568, 0.56, 0.562, 0.533, 0.537, 0.559, 0.54, 0.531, 0.526, 0.543, 0.531, 0.556, 0.526, 0.532, 0.533, 0.545, 0.525, 0.528, 0.542, 0.546, 0.559, 0.72, 0.594, 0.548, 0.541, 0.527, 0.534, 0.522, 0.544, 0.523, 0.526, 0.538, 0.535, 0.534, 0.523, 0.531
35000, 0.649, 0.631, 0.646, 0.629, 0.669, 0.708, 0.733, 0.643, 0.639, 0.667, 0.638, 0.663, 0.665, 0.657, 0.646, 0.648, 0.668, 0.649, 0.646, 0.653, 0.661, 0.676, 0.646, 0.682, 0.652, 0.664, 0.656, 0.686, 0.667, 0.749, 0.679, 0.734, 0.712, 0.795, 0.666, 0.671, 0.647, 0.633, 0.645, 0.654, 0.661, 0.689, 0.671, 0.644, 0.638, 0.686, 0.682, 0.641, 0.634, 0.643, 0.677, 0.67, 0.653, 0.645, 0.628, 0.654, 0.64, 3.24, 0.53, 0.528, 0.526, 0.533, 0.619, 0.529, 0.527, 0.523, 0.518, 0.528, 0.513, 0.511, 0.513, 0.517, 0.523, 0.518, 0.627, 0.639, 0.834, 0.702, 0.652, 0.659, 0.609, 0.619, 0.615, 0.608, 0.616, 0.611, 0.613, 0.614, 0.723, 0.66, 0.614, 0.605, 0.631, 0.618, 0.619, 0.694, 0.622, 0.643, 0.623, 0.641
40000, 0.917, 0.947, 0.799, 0.925, 0.773, 0.77, 0.762, 0.775, 0.808, 0.766, 0.746, 0.775, 0.82, 0.77, 0.788, 0.78, 0.751, 0.78, 0.745, 0.755, 0.786, 0.756, 0.761, 0.78, 0.762, 0.753, 0.764, 0.762, 0.733, 0.749, 0.779, 0.75, 0.743, 0.747, 0.729, 0.729, 0.74, 0.734, 0.736, 0.736, 0.735, 0.722, 0.763, 0.743, 0.735, 0.728, 0.733, 0.727, 0.715, 0.741, 0.726, 0.713, 3.597, 0.603, 0.598, 0.591, 0.595, 0.592, 0.711, 0.597, 0.6, 0.602, 0.599, 0.593, 0.596, 0.597, 0.601, 0.639, 0.604, 0.745, 0.943, 0.754, 0.73, 0.735, 0.735, 0.735, 0.732, 0.725, 0.739, 0.735, 0.736, 0.723, 0.784, 0.729, 0.726, 0.728, 0.707, 0.745, 0.717, 0.697, 0.74, 0.702, 0.714, 0.809, 0.776, 0.764, 0.922, 0.94, 0.738, 0.722
45000, 0.844, 0.866, 0.934, 0.888, 0.89, 0.85, 0.845, 0.87, 0.849, 0.862, 0.88, 0.86, 0.86, 0.876, 0.856, 3.678, 0.714, 0.696, 0.698, 0.695, 0.74, 0.692, 0.692, 0.697, 0.696, 0.699, 0.699, 0.709, 0.7, 0.704, 0.692, 0.681, 0.822, 0.832, 0.809, 0.838, 0.947, 1.126, 1.185, 0.971, 0.857, 0.808, 0.814, 0.818, 0.81, 0.824, 0.925, 0.864, 0.825, 1.088, 0.872, 0.838, 0.847, 0.816, 0.829, 0.866, 0.843, 0.828, 0.861, 0.863, 0.843, 0.838, 0.83, 0.833, 0.868, 0.836, 0.866, 0.829, 0.83, 0.84, 0.827, 0.839, 0.887, 0.821, 0.84, 0.847, 0.821, 0.813, 0.847, 0.811, 0.892, 0.994, 0.833, 0.818, 0.818, 0.852, 0.823, 0.825, 0.829, 0.849, 0.944, 0.847, 0.867, 0.831, 0.834, 0.839, 0.967, 1.133, 0.843, 0.832
50000, 0.955, 0.972, 0.963, 0.951, 0.988, 0.944, 0.938, 0.999, 1.223, 0.993, 1.004, 0.945, 0.949, 0.966, 0.933, 0.939, 0.941, 0.939, 0.953, 0.974, 0.921, 0.941, 0.933, 0.946, 1.179, 1.446, 1.247, 0.992, 1.014, 0.92, 0.943, 0.915, 0.909, 0.908, 0.907, 0.919, 0.945, 1.018, 0.938, 0.955, 0.967, 1.107, 1.189, 1.187, 1.013, 1.017, 0.918, 1.059, 0.932, 0.905, 0.926, 0.92, 0.926, 0.94, 0.905, 0.934, 0.92, 0.998, 1.388, 1.581, 1.376, 0.935, 0.925, 0.921, 0.926, 0.931, 0.906, 0.898, 0.927, 0.916, 0.93, 0.913, 0.942, 0.975, 1.177, 1.404, 1.147, 1.052, 0.904, 0.933, 0.906, 0.908, 0.93, 0.91, 0.919, 0.912, 0.914, 1.082, 0.93, 0.933, 1.182, 1.112, 1.086, 1.004, 1.186, 1.165, 1.108, 1.047, 0.996, 0.961
55000, 1.087, 1.085, 1.038, 1.019, 1.02, 1.01, 1.002, 1.247, 2.08, 1.26, 1.126, 1.1, 1.101, 1.056, 1.029, 1.052, 1.053, 1.052, 1.07, 6.214, 0.89, 0.874, 0.874, 0.876, 0.869, 0.871, 0.876, 0.871, 0.877, 0.861, 0.875, 0.902, 0.854, 0.868, 0.877, 1.207, 1.437, 1.076, 1.016, 1.021, 1.019, 1.001, 0.999, 1.005, 1.018, 0.997, 1.055, 1.012, 0.996, 1.012, 1.179, 1.984, 1.163, 1.011, 0.995, 0.987, 1.015, 0.99, 0.977, 1.008, 0.997, 0.994, 1.023, 0.985, 1.023, 1.074, 1.463, 1.208, 1.138, 1.045, 0.996, 0.996, 0.975, 1.0, 0.998, 0.99, 1.002, 1.014, 1.022, 1.015, 1.0, 1.182, 1.683, 1.157, 1.162, 1.012, 1.009, 0.995, 1.033, 1.021, 0.976, 0.995, 1.054, 1.141, 1.099, 1.059, 1.158, 1.703, 1.32, 1.054
60000, 1.34, 1.311, 1.417, 1.196, 1.359, 1.108, 1.116, 1.185, 1.113, 1.172, 1.125, 1.195, 1.14, 1.159, 1.11, 1.118, 1.093, 1.091, 1.111, 1.085, 1.099, 1.098, 1.124, 1.106, 1.118, 1.083, 1.107, 1.093, 1.113, 1.071, 1.087, 1.064, 1.082, 1.081, 1.075, 1.101, 1.076, 1.087, 1.06, 1.08, 1.059, 1.074, 1.083, 1.117, 1.108, 1.082, 1.07, 1.077, 4.049, 0.907, 0.866, 0.868, 0.863, 0.897, 0.86, 0.863, 0.868, 0.859, 0.893, 0.871, 0.871, 0.906, 0.883, 0.883, 0.88, 1.198, 1.138, 1.067, 1.014, 1.094, 1.031, 1.044, 1.086, 1.073, 1.598, 1.273, 1.134, 1.106, 1.083, 1.079, 1.087, 1.488, 1.291, 1.177, 1.139, 1.121, 1.127, 1.376, 1.446, 1.335, 1.316, 1.465, 1.336, 1.149, 1.243, 1.178, 1.143, 1.152, 1.134, 1.143
65000, 1.183, 1.204, 1.177, 1.747, 1.269, 1.154, 1.171, 1.134, 1.168, 1.142, 1.153, 1.2, 1.194, 1.171, 1.201, 1.194, 1.21, 1.354, 1.243, 1.198, 1.186, 1.162, 1.189, 1.172, 1.177, 1.166, 1.157, 1.178, 1.141, 1.134, 1.208, 1.143, 1.164, 1.151, 1.151, 1.136, 1.165, 1.096, 1.194, 1.135, 1.12, 1.126, 1.124, 1.156, 1.124, 1.251, 1.112, 1.117, 4.072, 0.927, 0.968, 1.028, 0.974, 0.941, 0.937, 0.942, 0.936, 0.962, 0.977, 0.945, 0.948, 0.952, 0.959, 0.925, 1.047, 1.417, 1.584, 1.3, 1.208, 1.164, 1.177, 1.35, 1.215, 1.394, 1.137, 1.194, 1.115, 1.109, 1.131, 1.174, 1.174, 1.178, 1.174, 1.171, 1.176, 1.199, 1.184, 1.174, 1.151, 1.153, 1.165, 1.146, 1.153, 1.132, 1.162, 1.145, 1.145, 1.148, 1.15, 1.158
70000, 1.3, 1.302, 1.314, 1.277, 1.292, 1.285, 1.319, 1.313, 1.308, 1.296, 1.318, 1.339, 1.31, 1.335, 1.29, 1.265, 1.27, 1.313, 1.273, 1.312, 1.284, 1.247, 1.27, 1.214, 1.245, 1.27, 1.274, 1.237, 1.271, 1.346, 1.249, 1.278, 1.233, 1.245, 1.224, 1.233, 1.238, 1.249, 1.25, 1.262, 1.257, 1.23, 1.221, 1.229, 1.268, 1.26, 1.441, 1.231, 1.246, 1.257, 1.23, 4.038, 1.066, 1.049, 1.045, 1.052, 1.055, 1.047, 1.048, 1.07, 1.055, 1.329, 1.033, 1.045, 1.051, 1.029, 1.062, 1.034, 1.28, 1.25, 1.335, 1.513, 1.821, 1.352, 1.464, 1.272, 1.309, 1.3, 1.336, 1.317, 1.293, 1.271, 1.261, 1.272, 1.289, 1.289, 1.292, 1.307, 1.276, 1.306, 1.304, 1.273, 1.295, 1.263, 1.278, 1.267, 1.28, 1.277, 1.263, 1.277
75000, 1.364, 1.426, 1.395, 1.38, 1.341, 1.346, 1.489, 1.66, 1.901, 1.584, 1.416, 1.614, 1.654, 1.697, 1.48, 4.616, 1.193, 1.182, 1.186, 1.183, 1.153, 1.177, 1.155, 1.181, 1.154, 1.179, 1.167, 1.186, 1.206, 1.171, 1.459, 1.182, 1.394, 1.392, 1.392, 1.376, 1.357, 1.315, 1.349, 1.368, 1.342, 1.359, 1.342, 1.387, 1.395, 1.353, 1.355, 1.344, 1.371, 1.359, 1.342, 1.368, 1.641, 1.392, 1.366, 1.409, 1.376, 1.519, 1.357, 1.418, 1.335, 1.359, 1.341, 1.341, 1.336, 1.349, 1.342, 1.405, 1.421, 1.336, 1.371, 6.483, 1.211, 1.155, 1.152, 1.155, 1.154, 1.162, 1.196, 1.17, 1.153, 1.187, 1.153, 1.162, 1.146, 1.154, 1.145, 1.154, 1.375, 1.338, 1.366, 1.349, 1.312, 1.344, 1.34, 1.322, 1.37, 1.321, 1.369, 1.327
80000, 1.756, 1.556, 1.545, 1.572, 1.513, 1.526, 1.524, 3.604, 1.26, 1.282, 1.254, 1.285, 1.297, 1.307, 1.296, 1.268, 1.313, 1.275, 1.278, 1.293, 1.297, 1.296, 1.284, 1.259, 1.542, 1.437, 1.445, 1.434, 1.442, 1.611, 1.449, 1.432, 1.496, 1.449, 1.431, 1.448, 1.419, 1.448, 1.437, 1.485, 1.467, 1.429, 1.46, 1.451, 1.437, 1.443, 1.452, 1.5, 1.447, 1.434, 1.432, 1.49, 1.488, 1.461, 1.488, 1.443, 1.45, 1.443, 1.667, 1.45, 1.711, 1.465, 1.698, 1.747, 2.007, 1.624, 1.488, 1.84, 1.593, 1.608, 1.606, 1.578, 1.564, 1.549, 1.546, 1.51, 1.549, 1.565, 1.526, 1.535, 1.522, 1.52, 1.506, 1.498, 1.5, 1.495, 1.508, 1.505, 1.453, 1.619, 1.486, 1.453, 1.445, 1.485, 1.461, 1.457, 1.491, 1.447, 1.651, 1.509
85000, 1.626, 1.631, 1.603, 1.634, 1.652, 1.63, 1.633, 1.61, 1.585, 1.589, 1.584, 1.603, 1.569, 1.605, 1.537, 1.574, 1.566, 1.601, 1.585, 1.539, 1.549, 1.558, 1.54, 1.531, 1.613, 1.556, 1.542, 1.541, 1.583, 1.545, 4.023, 1.402, 1.341, 1.344, 1.338, 1.324, 1.443, 1.436, 1.31, 1.315, 1.311, 1.309, 1.306, 1.313, 1.328, 1.363, 1.331, 1.579, 1.546, 1.554, 1.551, 1.61, 1.594, 1.548, 1.536, 1.602, 1.614, 1.953, 2.101, 1.67, 1.641, 1.949, 1.884, 1.714, 1.796, 1.645, 1.64, 1.603, 1.6, 1.622, 1.613, 1.59, 1.59, 1.597, 1.585, 1.585, 1.588, 1.552, 1.577, 1.595, 1.713, 1.569, 1.593, 1.526, 1.529, 1.569, 1.546, 1.544, 1.591, 1.553, 1.581, 1.557, 1.573, 1.584, 1.573, 1.567, 1.574, 1.583, 1.687, 1.661
