5000, 0.703, 0.654, 0.627, 0.617, 0.618, 0.632, 0.65, 0.634, 0.6, 0.595, 0.594, 0.603, 0.605, 0.599, 0.597, 0.603, 0.607, 0.601, 0.608, 0.62, 0.595, 0.593, 0.594, 0.593, 0.599, 0.559, 0.562, 0.546, 0.554, 0.547, 0.548, 0.546, 0.546, 0.545, 0.545, 0.547, 0.547, 0.621, 0.64, 0.549, 0.548, 0.548, 0.548, 0.548, 0.55, 0.534, 0.629, 0.647, 0.685, 0.661, 0.666, 0.66, 0.846, 0.738, 0.591, 0.57, 0.572, 0.587, 0.567, 0.575, 0.574, 0.57, 0.567, 0.64, 0.695, 0.556, 0.559, 0.591, 0.613, 0.588, 0.551, 0.626, 0.549, 0.546, 0.546, 0.546, 0.562, 0.56, 0.574, 0.564, 0.561, 0.563, 0.583, 0.56, 0.564, 0.565, 0.591, 0.563, 0.562, 0.562, 0.564, 0.57, 0.563, 0.565, 0.579, 0.548, 0.593, 0.553, 0.548, 0.549
10000, 1.259, 1.147, 1.148, 1.271, 1.167, 1.149, 1.147, 1.152, 1.148, 1.149, 1.158, 1.147, 1.186, 1.149, 1.152, 1.148, 1.171, 1.146, 1.147, 1.146, 1.146, 1.169, 1.251, 1.148, 1.253, 1.34, 1.421, 1.625, 1.249, 1.279, 1.221, 1.275, 1.252, 1.215, 1.225, 1.218, 1.24, 1.245, 1.213, 1.213, 1.225, 1.209, 1.21, 1.207, 1.209, 1.236, 1.208, 1.179, 1.178, 1.178, 1.178, 1.179, 1.18, 1.196, 1.18, 1.155, 1.148, 1.186, 1.169, 1.158, 1.148, 1.152, 1.146, 1.221, 1.144, 1.159, 1.188, 1.147, 1.149, 1.154, 1.166, 1.149, 1.156, 1.152, 1.148, 1.494, 1.161, 1.15, 1.164, 1.151, 1.149, 1.146, 1.168, 1.151, 1.188, 1.157, 1.147, 1.147, 1.149, 1.15, 1.187, 1.162, 1.155, 1.147, 1.189, 1.163, 1.153, 1.167, 1.187, 1.15
15000, 1.787, 1.825, 1.783, 1.799, 1.841, 2.002, 2.139, 1.971, 2.266, 2.148, 2.17, 1.912, 1.897, 1.887, 1.916, 1.893, 1.878, 1.918, 2.237, 1.842, 1.838, 1.882, 1.902, 1.891, 1.884, 1.885, 2.145, 1.934, 10.828, 1.884, 2.197, 1.945, 1.897, 1.879, 1.875, 1.956, 1.887, 1.871, 1.886, 2.277, 1.981, 1.839, 1.825, 1.826, 1.976, 1.838, 1.842, 2.164, 2.174, 1.903, 1.833, 1.83, 2.042, 1.892, 1.884, 1.882, 2.043, 2.046, 1.891, 1.892, 1.878, 1.942, 1.891, 1.894, 1.931, 2.087, 1.9, 1.877, 1.881, 1.927, 1.891, 1.884, 1.887, 2.048, 1.959, 1.907, 1.879, 1.971, 1.883, 1.886, 1.878, 1.969, 1.885, 1.896, 1.875, 1.935, 1.891, 1.887, 1.878, 1.957, 1.887, 1.896, 1.884, 1.912, 1.882, 1.94, 1.885, 1.935, 1.878, 1.878
20000, 2.504, 2.463, 2.507, 2.47, 2.467, 2.468, 2.49, 2.503, 2.46, 2.503, 2.481, 2.516, 2.523, 2.478, 2.728, 2.89, 2.799, 2.934, 2.724, 2.644, 2.582, 2.606, 2.603, 2.612, 2.606, 2.53, 2.547, 2.542, 2.532, 2.66, 2.476, 2.461, 2.521, 2.475, 2.46, 2.462, 2.549, 2.499, 2.477, 2.476, 2.538, 2.508, 2.462, 2.472, 2.558, 2.556, 2.547, 2.578, 2.461, 2.622, 2.7, 2.466, 2.607, 2.533, 2.722, 2.575, 2.531, 2.617, 2.656, 2.718, 2.551, 2.578, 2.595, 2.622, 2.994, 2.534, 2.54, 2.567, 2.535, 2.523, 2.975, 2.687, 2.603, 2.619, 2.607, 2.599, 3.107, 2.714, 2.904, 2.703, 2.616, 2.607, 2.644, 2.668, 2.647, 2.604, 2.609, 2.619, 2.606, 2.686, 2.621, 2.597, 2.599, 2.609, 2.594, 3.053, 2.545, 2.581, 2.532, 2.533
25000, 3.232, 3.155, 3.164, 3.158, 3.21, 3.177, 3.121, 3.125, 3.194, 3.166, 3.129, 3.121, 3.163, 3.147, 3.57, 3.533, 3.543, 3.767, 3.503, 3.296, 3.309, 3.351, 3.304, 3.305, 3.289, 3.29, 3.221, 3.363, 3.214, 3.208, 3.208, 3.215, 3.138, 3.132, 3.396, 3.141, 3.135, 3.148, 3.175, 3.243, 3.124, 3.197, 3.139, 3.126, 3.283, 3.269, 3.169, 3.144, 3.2, 3.133, 3.124, 3.12, 3.171, 3.136, 3.137, 3.158, 3.13, 3.216, 3.132, 3.337, 3.29, 3.161, 3.242, 3.213, 3.23, 3.227, 3.128, 3.278, 3.129, 3.182, 3.137, 3.131, 3.162, 3.135, 3.135, 3.135, 3.16, 3.123, 3.143, 3.204, 3.139, 3.12, 3.133, 3.566, 3.158, 3.259, 3.217, 3.177, 3.131, 3.129, 3.206, 3.169, 3.365, 3.252, 3.129, 3.125, 3.392, 3.164, 3.167, 3.202
30000, 3.841, 3.881, 3.843, 3.878, 3.86, 4.564, 4.356, 4.383, 4.186, 4.046, 4.063, 3.932, 3.953, 3.946, 4.109, 3.931, 3.928, 3.874, 3.826, 3.884, 3.85, 3.862, 3.864, 3.826, 3.848, 3.878, 3.848, 4.024, 4.325, 4.173, 4.119, 4.092, 4.039, 3.997, 3.927, 3.955, 3.872, 3.835, 10.333, 3.966, 3.882, 3.749, 3.755, 3.833, 3.749, 3.745, 3.785, 3.956, 3.797, 3.755, 3.758, 3.782, 3.747, 3.749, 3.877, 3.83, 3.842, 3.921, 3.866, 3.834, 3.91, 4.026, 3.858, 4.134, 3.96, 4.183, 4.071, 4.123, 3.973, 4.105, 3.943, 4.042, 4.018, 4.067, 3.834, 4.032, 3.923, 3.933, 3.861, 4.053, 3.819, 4.035, 3.838, 3.983, 3.833, 4.083, 3.862, 4.081, 3.949, 4.133, 4.032, 4.141, 3.856, 4.082, 3.928, 4.055, 3.851, 4.227, 4.417, 4.067
35000, 4.714, 4.71, 5.537, 5.198, 5.152, 4.838, 4.866, 4.784, 4.69, 4.655, 4.648, 4.638, 4.612, 4.701, 5.057, 4.919, 4.681, 4.676, 4.663, 4.513, 4.574, 4.549, 4.516, 4.589, 4.533, 4.558, 4.527, 4.613, 4.894, 4.599, 4.645, 4.716, 4.589, 4.528, 4.545, 4.594, 4.568, 4.547, 4.588, 4.767, 4.542, 4.543, 4.541, 4.525, 4.585, 4.547, 4.507, 4.652, 4.518, 4.778, 4.801, 4.571, 4.653, 4.529, 4.668, 4.507, 4.714, 4.596, 4.604, 4.902, 4.672, 4.682, 4.604, 4.56, 4.532, 4.636, 4.512, 4.531, 4.558, 4.518, 4.621, 4.708, 4.515, 4.757, 4.559, 4.719, 4.526, 4.545, 4.538, 4.512, 4.56, 4.515, 4.605, 4.538, 4.519, 4.554, 4.554, 4.552, 4.507, 4.533, 4.55, 4.556, 4.547, 4.62, 4.591, 4.514, 4.68, 4.562, 4.514, 4.608
40000, 5.413, 5.364, 5.354, 5.309, 5.886, 5.303, 5.392, 5.415, 5.398, 5.321, 5.225, 5.264, 5.254, 5.303, 5.215, 5.318, 5.232, 5.375, 5.26, 5.414, 5.249, 5.26, 5.45, 5.56, 5.323, 5.37, 5.346, 5.368, 5.236, 5.258, 5.222, 5.331, 5.227, 5.337, 5.239, 5.249, 5.231, 5.289, 5.304, 5.422, 5.224, 5.365, 5.28, 5.468, 5.294, 7.689, 5.17, 5.146, 5.108, 5.141, 5.104, 5.106, 5.146, 5.313, 5.297, 5.114, 5.15, 5.116, 5.145, 5.115, 5.269, 5.316, 5.263, 5.437, 5.255, 5.464, 5.392, 5.257, 5.254, 5.3, 5.256, 5.32, 5.273, 5.27, 5.27, 5.229, 5.304, 5.272, 5.259, 5.556, 5.944, 5.453, 6.012, 5.546, 5.555, 5.524, 5.399, 5.399, 5.33, 5.218, 5.273, 5.234, 5.248, 5.311, 5.236, 5.273, 5.241, 5.312, 5.263, 5.301
45000, 7.277, 6.716, 6.556, 6.443, 6.335, 6.383, 6.8, 6.521, 6.418, 6.305, 6.397, 6.55, 6.302, 7.025, 6.881, 6.697, 6.381, 6.25, 6.67, 6.432, 6.108, 6.564, 6.3, 6.143, 6.484, 6.075, 6.479, 6.538, 6.201, 6.461, 6.068, 6.057, 6.503, 6.087, 6.697, 6.705, 6.135, 6.57, 6.202, 6.511, 6.595, 6.135, 6.471, 6.204, 6.151, 6.53, 6.132, 6.558, 6.325, 6.193, 6.461, 6.313, 6.576, 6.53, 6.158, 6.96, 6.709, 6.203, 6.44, 6.308, 6.611, 6.837, 6.254, 6.433, 6.365, 6.843, 7.08, 6.333, 6.805, 6.481, 6.659, 6.549, 6.397, 6.784, 6.706, 6.604, 6.515, 6.375, 6.357, 6.379, 6.795, 6.753, 6.389, 6.389, 6.312, 6.386, 6.417, 6.323, 6.781, 6.561, 6.156, 9.016, 5.959, 6.173, 6.23, 6.011, 6.335, 6.052, 6.509, 6.313
50000, 7.348, 7.109, 7.465, 7.433, 7.279, 7.09, 7.419, 7.403, 7.086, 7.298, 17.846, 6.753, 7.057, 6.703, 6.972, 7.092, 6.797, 7.259, 6.713, 7.005, 7.845, 6.974, 7.008, 6.966, 6.897, 6.967, 6.877, 6.742, 6.729, 6.667, 6.696, 6.751, 6.772, 6.718, 6.675, 6.723, 6.761, 6.703, 6.74, 6.919, 6.957, 6.776, 6.822, 6.796, 6.827, 6.7, 6.724, 7.0, 6.728, 6.762, 6.782, 7.458, 7.011, 6.891, 6.912, 6.889, 6.933, 7.034, 7.06, 7.507, 6.883, 7.369, 6.888, 7.537, 6.923, 7.282, 7.46, 7.128, 7.471, 7.073, 7.556, 7.986, 7.945, 7.061, 8.112, 7.575, 7.937, 7.61, 8.525, 7.322, 7.61, 7.54, 7.264, 7.156, 7.138, 7.939, 7.065, 7.312, 7.073, 7.251, 7.189, 7.136, 7.067, 6.999, 7.15, 6.885, 7.183, 7.142, 7.077, 7.148
