5000, 0.052, 0.049, 0.052, 0.056, 0.058, 0.056, 0.061, 0.063, 0.073, 0.059, 0.055, 0.055, 0.147, 0.061, 0.068, 0.037, 0.039, 0.036, 0.044, 0.044
10000, 0.069, 0.096, 0.072, 0.077, 0.07, 0.05, 0.061, 0.08, 0.085, 0.062, 0.096, 0.046, 0.048, 0.041, 0.041, 0.072, 0.054, 0.046, 0.044, 0.048
15000, 0.065, 0.057, 0.052, 0.049, 0.082, 0.044, 0.051, 0.053, 0.061, 0.052, 0.085, 0.052, 0.09, 0.051, 0.055, 0.05, 0.054, 0.062, 0.059, 0.05
20000, 0.069, 0.062, 0.075, 0.064, 0.091, 0.065, 0.082, 0.059, 0.059, 0.071, 0.071, 0.058, 0.076, 0.064, 0.071, 0.078, 0.075, 0.066, 0.079, 0.061
25000, 0.097, 0.075, 0.082, 0.083, 0.084, 0.083, 0.076, 0.09, 0.075, 0.082, 0.104, 0.075, 0.086, 0.071, 0.085, 0.099, 0.083, 0.08, 0.075, 0.081
30000, 0.106, 0.11, 0.099, 0.094, 0.1, 0.108, 0.098, 0.118, 0.11, 0.188, 0.108, 0.123, 0.108, 0.108, 0.088, 0.119, 0.102, 0.096, 0.116, 0.119
35000, 0.222, 0.165, 0.136, 0.163, 0.125, 0.117, 0.132, 0.127, 0.117, 0.137, 0.117, 0.126, 0.104, 0.126, 0.112, 0.111, 0.126, 0.115, 0.119, 0.122
40000, 0.138, 0.146, 0.126, 0.139, 0.137, 0.129, 0.139, 0.139, 0.163, 0.119, 0.152, 0.14, 0.134, 0.138, 0.147, 0.143, 0.134, 0.149, 0.135, 0.136
45000, 0.14, 0.142, 0.144, 0.155, 0.146, 0.134, 0.152, 0.152, 0.149, 0.14, 0.145, 0.15, 0.145, 0.209, 0.143, 0.149, 0.159, 0.148, 0.141, 0.133
50000, 0.158, 0.157, 0.172, 0.151, 0.166, 0.169, 0.164, 0.147, 0.166, 0.151, 0.166, 0.344, 0.152, 3.173, 0.068, 0.061, 0.063, 0.064, 0.066, 0.064
55000, 0.176, 0.2, 0.18, 0.235, 0.211, 0.219, 0.212, 0.225, 0.19, 0.163, 0.201, 0.207, 0.175, 0.172, 0.175, 0.154, 0.166, 0.17, 0.158, 0.174
60000, 0.212, 0.226, 0.2, 0.232, 0.196, 0.2, 0.197, 0.197, 0.173, 0.23, 0.26, 0.203, 0.18, 0.191, 0.189, 0.196, 0.195, 0.231, 0.202, 0.193
65000, 0.221, 0.268, 0.201, 0.229, 0.207, 0.258, 0.231, 0.205, 0.22, 0.243, 0.221, 0.213, 0.224, 0.21, 0.301, 0.214, 0.231, 6.367, 0.207, 0.2
70000, 0.218, 0.2, 0.21, 0.215, 0.228, 0.223, 2.638, 0.234, 0.191, 0.219, 0.201, 0.224, 0.259, 0.227, 0.304, 0.221, 0.219, 0.294, 0.254, 0.202
75000, 0.231, 0.255, 0.261, 0.28, 0.224, 0.253, 0.24, 0.285, 0.24, 0.269, 0.239, 0.238, 0.254, 0.248, 0.23, 0.246, 0.234, 0.278, 0.22, 0.248
80000, 0.258, 0.256, 0.25, 0.251, 0.279, 0.271, 0.266, 0.265, 0.318, 0.278, 0.244, 0.269, 0.258, 0.247, 0.275, 0.301, 0.357, 0.265, 0.266, 0.285
85000, 0.288, 0.298, 0.276, 0.267, 0.298, 0.267, 0.268, 0.343, 0.365, 4.145, 0.159, 0.295, 0.27, 0.431, 0.297, 0.339, 0.376, 0.319, 0.372, 0.354
90000, 0.287, 0.281, 0.299, 0.298, 0.507, 0.356, 0.28, 0.285, 0.284, 0.306, 0.289, 0.298, 0.299, 0.267, 0.279, 0.28, 0.284, 0.288, 0.297, 0.386
95000, 0.33, 0.3, 0.321, 0.287, 0.315, 0.318, 0.316, 5.857, 0.153, 0.356, 0.401, 0.387, 0.347, 0.297, 0.311, 0.277, 0.327, 0.286, 0.298, 0.268
100000, 0.46, 0.347, 0.363, 0.347, 0.358, 0.312, 0.365, 0.346, 0.317, 0.345, 0.314, 0.34, 0.289, 0.325, 0.305, 0.565, 0.417, 0.434, 0.361, 0.476
