5000, 0.154, 0.156, 0.146, 0.147, 0.198, 0.206, 0.175, 0.195, 0.17, 0.199, 0.137, 0.134, 0.135, 0.137, 0.138, 0.149, 0.135, 0.135, 0.135, 0.137
10000, 0.204, 0.205, 0.242, 0.21, 0.235, 0.21, 0.215, 0.216, 0.217, 0.223, 0.241, 0.209, 0.2, 0.196, 0.197, 0.209, 0.196, 0.213, 0.197, 0.192
15000, 0.274, 0.27, 0.279, 0.266, 0.274, 0.284, 0.287, 0.283, 0.297, 0.276, 0.274, 0.28, 0.267, 0.27, 0.282, 0.289, 0.268, 0.267, 0.266, 0.283
20000, 0.39, 0.368, 0.389, 0.363, 0.373, 0.377, 0.378, 0.37, 0.373, 0.367, 0.371, 0.371, 0.372, 0.361, 0.376, 0.423, 0.365, 0.501, 0.442, 0.365
25000, 0.708, 0.484, 0.476, 0.445, 0.456, 0.44, 0.458, 0.499, 0.519, 0.456, 0.505, 0.501, 0.472, 0.532, 0.497, 0.451, 0.442, 0.466, 0.442, 0.563
30000, 0.574, 0.556, 0.532, 0.533, 0.567, 0.552, 0.537, 0.529, 0.64, 0.542, 0.584, 0.552, 0.556, 0.533, 0.531, 0.543, 0.535, 0.549, 0.524, 0.537
35000, 0.747, 0.678, 0.628, 0.629, 0.72, 0.645, 0.713, 0.633, 0.644, 0.653, 0.641, 0.64, 0.636, 8.569, 0.629, 0.655, 0.827, 0.65, 0.645, 0.645
40000, 0.787, 0.743, 0.754, 0.786, 0.778, 0.752, 0.789, 0.773, 0.755, 0.821, 0.765, 0.742, 0.766, 0.812, 0.769, 0.739, 0.771, 0.751, 0.741, 0.769
45000, 0.891, 0.886, 0.911, 0.849, 0.844, 0.858, 0.842, 0.852, 0.868, 0.944, 0.917, 0.868, 0.847, 0.863, 0.892, 0.842, 0.853, 0.864, 0.901, 0.861
50000, 0.871, 0.845, 0.764, 0.762, 0.779, 0.957, 0.933, 0.909, 0.939, 0.932, 0.925, 0.921, 0.918, 0.915, 0.94, 0.931, 0.914, 1.04, 0.931, 0.918
55000, 1.054, 1.207, 1.107, 1.06, 1.054, 1.023, 1.036, 1.037, 1.055, 1.041, 1.025, 1.037, 1.132, 1.029, 1.052, 1.024, 1.108, 1.071, 1.069, 1.047
60000, 9.636, 1.14, 1.068, 1.081, 1.044, 1.124, 1.122, 1.308, 1.26, 1.372, 1.282, 1.179, 1.137, 1.11, 1.135, 1.121, 1.149, 1.112, 1.133, 1.155
65000, 1.155, 1.214, 1.214, 1.173, 1.174, 1.239, 1.213, 1.209, 1.482, 1.303, 1.228, 1.261, 1.236, 1.2, 1.231, 1.418, 1.276, 1.335, 1.237, 1.216
70000, 1.298, 1.237, 1.248, 1.235, 1.335, 1.558, 1.893, 1.464, 1.412, 1.462, 1.484, 1.384, 1.46, 1.762, 1.539, 1.595, 1.565, 1.803, 1.492, 1.658
75000, 1.376, 1.386, 1.447, 1.402, 1.467, 1.477, 1.574, 1.474, 1.394, 1.461, 1.426, 1.463, 1.456, 1.407, 1.445, 1.332, 1.332, 1.35, 1.548, 1.68
80000, 1.495, 1.551, 1.635, 1.558, 1.621, 1.616, 1.498, 11.091, 1.317, 1.523, 1.485, 1.575, 1.686, 1.557, 1.506, 1.509, 1.518, 1.519, 1.491, 1.514
85000, 1.622, 1.624, 1.659, 1.722, 1.722, 1.656, 1.63, 1.625, 1.715, 1.967, 2.193, 1.867, 1.667, 1.903, 2.025, 1.67, 1.776, 1.666, 1.616, 1.632
90000, 1.697, 1.728, 1.818, 1.8, 1.824, 1.846, 1.761, 1.782, 1.733, 1.747, 5.387, 1.523, 1.466, 1.442, 1.531, 1.749, 1.937, 1.568, 1.517, 1.872
95000, 1.941, 2.12, 1.832, 1.886, 1.829, 1.966, 1.817, 1.807, 1.941, 1.816, 1.795, 1.822, 1.81, 2.271, 2.409, 2.023, 2.039, 2.046, 2.16, 2.108
100000, 1.937, 1.974, 2.025, 1.985, 1.969, 1.954, 2.188, 2.121, 1.996, 2.177, 2.001, 2.152, 1.969, 1.93, 1.957, 1.908, 1.933, 1.951, 1.904, 1.996
